畫菊自序,人為萬物之靈，志有,萬端,之異。,極多。,
畫菊自序,是故,咳唾珠玉,，謫仙闢詩學之源；,咳出的唾沫像珍珠寶玉，比喻言語不凡或詩文優美。,
畫菊自序,是故,咳唾,珠玉，謫仙闢詩學之源；,音ㄎㄜˊㄊㄨㄛˋ,
畫菊自序,是故咳唾珠玉，,謫仙,闢詩學之源；,稱人才情高超，有如謫居世間的仙人。此指李白。,
畫菊自序,；節奏鏗鏘，,蔡女撰胡笳之拍,。此皆不墮聰明，而有志竟成者也。,指蔡琰作琴曲胡笳十八拍。,
畫菊自序,節奏鏗鏘，,蔡女,撰胡笳之拍。此皆不墮聰明，而有志竟成者也。,蔡琰，字文姬，東漢人，戰亂時被胡人擄走，流落匈奴十二年，與左賢王育有子，其後，曹操以重金將她贖回。歸鄉時，作胡笳十八拍，全曲共十八段，表現蔡琰思念故土和惜別稚子的痛苦心情。,
畫菊自序,，蔡女撰胡笳之拍。此皆不,墮,聰明，而有志竟成者也。,音ㄏㄨㄟ 同「隳」，荒廢。,
畫菊自序,若夫,銀鉤鐵畫,，固屬難窺；儷白妃青，亦非易事。,形容書法筆畫如銀般的柔媚，如鐵般的剛勁。,
畫菊自序,若夫銀鉤鐵畫，固屬難窺；,儷白妃青,，亦非易事。,調配白色和青色，指繪畫時調配顏色。,
畫菊自序,若夫銀鉤鐵畫，固屬難窺；,儷,白妃青，亦非易事。,配偶，此指配對。,
畫菊自序,若夫銀鉤鐵畫，固屬難窺；儷白,妃,青，亦非易事。,音ㄆㄟˋ，同「配」。,
畫菊自序,余,因,停機教子之餘，調藥助夫之暇，竊慕管夫人之墨竹，,乘、趁。,
畫菊自序,余因,停機教子,之餘，調藥助夫之暇，竊慕管夫人之墨竹，,指母親教育子女勤學。典故源自孟母割斷織布機上的布，藉以告誡孟子為學不可中輟。,
畫菊自序,。余因停機教子之餘，調藥助夫之暇，竊慕,管夫人,之墨竹，紙上生風；,元代女書畫家管道昇，善畫墨竹、蘭、梅，封魏國夫人，世稱「管夫人」。,
畫菊自序,,敢,藉陶彭澤之黃花，圖中寫影。庶幾秋姿不老，四座流芬，,冒昧。,
畫菊自序,風；敢藉陶彭澤之,黃花,，圖中寫影。,指菊花。,
畫菊自序,，得比勁節長垂，千人共仰，竟率意而,鴉塗,，莫自知其鳩拙云爾。,即塗鴉，此指繪畫，有謙稱技巧不成熟之意。,
畫菊自序,千人共仰，竟率意而鴉塗，莫自知其,鳩拙,云爾。,鳩鳥拙於築巢，此為自謙拙劣之詞。,
畫菊自序,，千人共仰，竟率意而鴉塗，莫自知其鳩拙,云爾,。,用於句子或文章末尾，表示結束。,
畫菊自序,,庚寅,仲秋題襟亭主人 張李德和,指民國三十九年。,
畫菊自序,庚寅仲秋,題襟亭,主人 張李德和,張李德和住家庭園的涼亭名稱。,
畫菊自序,庚寅仲秋,題襟,亭主人 張李德和,抒寫胸懷，後亦用來指詩文唱和抒懷,
